Node	node_type	bigg_id	universal_bigg_id	metabolite_name	Super.class	bigg_model_list	database_links
Arsenate	metabolite	aso4_e	aso4	Arsenate	Mixed metal/non-metal compounds	iJN1463; iAF987; iYS854	KEGG Compound: http://identifiers.org/kegg.compound/C01478; KEGG Compound: http://identifiers.org/kegg.compound/C11215; CHEBI: http://identifiers.org/chebi/CHEBI:13856; CHEBI: http://identifiers.org/chebi/CHEBI:18231; CHEBI: http://identifiers.org/chebi/CHEBI:22629; CHEBI: http://identifiers.org/chebi/CHEBI:22631; CHEBI: http://identifiers.org/chebi/CHEBI:2843; CHEBI: http://identifiers.org/chebi/CHEBI:2844; CHEBI: http://identifiers.org/chebi/CHEBI:29125; CHEBI: http://identifiers.org/chebi/CHEBI:48597; CHEBI: http://identifiers.org/chebi/CHEBI:48600; InChI Key: https://identifiers.org/inchikey/DJHGAFSJWGLOIV-UHFFFAOYSA-L; Human Metabolome Database: http://identifiers.org/hmdb/HMDB12190; BioCyc: http://identifiers.org/biocyc/META:ARSENATE; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM970; SEED Compound: http://identifiers.org/seed.compound/cpd01048
Branching glycogen  4 units	metabolite	bglyg4n_c	bglyg4n	Branching glycogen  4 units	Organic oxygen compounds	iJN1463	
Butanal C4H8O	metabolite	btal_c	btal	Butanal C4H8O	Organic oxygen compounds	iECP_1309; iECIAI39_1322; iECIAI1_1343; iECNA114_1301; iECO103_1326; iECOK1_1307; iECO111_1330; iECO26_1355; iECS88_1305; iECs_1301; iEcolC_1368; iSF_1195; iPC815; iEC042_1314; ic_1306; iAF1260; iJO1366; iAPECO1_1312; iBWG_1329; iE2348C_1286; iB21_1397; iCN900; iJN1463; iEC1372_W3110; iCN718; iEC1368_DH5a; iEC1344_C; iEC1364_W; iEC1356_Bl21DE3; iEC1349_Crooks; iML1515; iEC55989_1330; iEcDH1_1363; iECD_1391; iEcHS_1320; iECED1_1282; iECH74115_1262; iECDH1ME8569_1439; iEcE24377_1341; iECB_1328; iECDH10B_1368; iECABU_c1320; iECBD_1354; iSbBS512_1146; iSFV_1184; iSBO_1134; iUMN146_1321; iUTI89_1310; iUMNK88_1353; iWFL_1372; iSFxv_1172; iZ_1308; iYL1228; iSSON_1240; iSDY_1059; iLF82_1304; iECSE_1348; iG2583_1286; iNRG857_1313; iS_1188; iECSP_1301; iECSF_1327; iETEC_1333; iEKO11_1354; iECW_1372; iEcSMS35_1347; iECUMN_1333; iAF1260b; iHN637; iY75_1357; iAF987; iRC1080; iYO844	KEGG Compound: http://identifiers.org/kegg.compound/C01412; CHEBI: http://identifiers.org/chebi/CHEBI:13923; CHEBI: http://identifiers.org/chebi/CHEBI:15743; CHEBI: http://identifiers.org/chebi/CHEBI:22938; CHEBI: http://identifiers.org/chebi/CHEBI:3233; Human Metabolome Database: http://identifiers.org/hmdb/HMDB03543; BioCyc: http://identifiers.org/biocyc/META:BUTANAL; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM1017; InChI Key: https://identifiers.org/inchikey/ZTQSAGDEMFDKMZ-UHFFFAOYSA-N; SEED Compound: http://identifiers.org/seed.compound/cpd01011
Butanoyl-CoA	metabolite	btcoa_c	btcoa	Butanoyl-CoA	Lipids and lipid-like molecules	iLJ478; iY75_1357; iRC1080; iAF987; iHN637; STM_v1_0; iAF1260b; iYO844; iCHOv1; iEC1364_W; iEC1349_Crooks; iCHOv1_DG44; Recon3D; iML1515; iEC1356_Bl21DE3; iAPECO1_1312; iB21_1397; iJO1366; iE2348C_1286; iSB619; ic_1306; iEC042_1314; iSF_1195; iPC815; iBWG_1329; iAF1260; iJN746; iECNA114_1301; iECP_1309; iECSE_1348; iECs_1301; iECS88_1305; iECIAI1_1343; iECO103_1326; iEcolC_1368; iECOK1_1307; iECIAI39_1322; iECO111_1330; iECO26_1355; iEC1368_DH5a; iYS1720; iCN900; iEC1344_C; iEC1372_W3110; iCN718; iJN1463; iG2583_1286; iECSP_1301; iEKO11_1354; iECSF_1327; iLF82_1304; iECUMN_1333; iS_1188; iNRG857_1313; iEcSMS35_1347; iECW_1372; iETEC_1333; iEcDH1_1363; iECH74115_1262; iEcE24377_1341; iECDH10B_1368; iEcHS_1320; iECD_1391; iECABU_c1320; iEC55989_1330; iECB_1328; iECDH1ME8569_1439; iECED1_1282; iECBD_1354; iWFL_1372; iSFxv_1172; iUMN146_1321; iZ_1308; iUTI89_1310; iYL1228; iSFV_1184; iUMNK88_1353; iSSON_1240; iSDY_1059; iSbBS512_1146; iJR904; iSBO_1134	Reactome Compound: http://identifiers.org/reactome/R-ALL-77318; KEGG Compound: http://identifiers.org/kegg.compound/C00136; CHEBI: http://identifiers.org/chebi/CHEBI:13926; CHEBI: http://identifiers.org/chebi/CHEBI:15517; CHEBI: http://identifiers.org/chebi/CHEBI:22953; CHEBI: http://identifiers.org/chebi/CHEBI:22973; CHEBI: http://identifiers.org/chebi/CHEBI:3235; CHEBI: http://identifiers.org/chebi/CHEBI:57371; InChI Key: https://identifiers.org/inchikey/CRFNGMNYKDXRTN-CITAKDKDSA-J; Human Metabolome Database: http://identifiers.org/hmdb/HMDB01088; LipidMaps: http://identifiers.org/lipidmaps/LMFA07050292; BioCyc: http://identifiers.org/biocyc/META:BUTYRYL-COA; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM233; SEED Compound: http://identifiers.org/seed.compound/cpd00120
Calcium	metabolite	ca2_c	ca2	Calcium	Homogeneous metal compounds	iSbBS512_1146; iEKO11_1354; iNRG857_1313; iG2583_1286; iS_1188; iECUMN_1333; iETEC_1333; iECSF_1327; iEcSMS35_1347; iECW_1372; iLF82_1304; iECSP_1301; iMM1415; iAT_PLT_636; iYO844; iY75_1357; iAF1260b; iAB_RBC_283; iHN637; iCHOv1; iAF987; iAF692; iJN678; STM_v1_0; RECON1; iECs_1301; iECS88_1305; iECO26_1355; iECIAI1_1343; iECP_1309; iECOK1_1307; iECO103_1326; iECSE_1348; iECNA114_1301; iECIAI39_1322; iECO111_1330; iEcolC_1368; iZ_1308; iUMNK88_1353; iUTI89_1310; iSBO_1134; iSFV_1184; iSFxv_1172; iSDY_1059; iUMN146_1321; iYL1228; iSSON_1240; iWFL_1372; iCHOv1_DG44; Recon3D; iML1515; iJB785; iEC1356_Bl21DE3; iEK1008; iYS854; iEC1364_W; iEC1349_Crooks; iAM_Pv461; iYS1720; iAM_Pb448; iIS312_Trypomastigote; iIS312; iEC1344_C; iJN1463; iAM_Pc455; iCN900; iIS312_Epimastigote; iSynCJ816; iEC1368_DH5a; iIS312_Amastigote; iAM_Pf480; iAM_Pk459; iEC1372_W3110; iSF_1195; iAPECO1_1312; ic_1306; iJO1366; iBWG_1329; iAF1260; iNJ661; iEC55989_1330; iEC042_1314; iPC815; iB21_1397; iE2348C_1286; iEcDH1_1363; iECBD_1354; iEcHS_1320; iEcE24377_1341; iECABU_c1320; iECD_1391; iECB_1328; iECDH10B_1368; iECDH1ME8569_1439; iECED1_1282; iECH74115_1262	Reactome Compound: http://identifiers.org/reactome/R-ALL-111875; Reactome Compound: http://identifiers.org/reactome/R-ALL-139827; Reactome Compound: http://identifiers.org/reactome/R-ALL-1606834; Reactome Compound: http://identifiers.org/reactome/R-ALL-167012; Reactome Compound: http://identifiers.org/reactome/R-ALL-2855229; Reactome Compound: http://identifiers.org/reactome/R-ALL-74016; Reactome Compound: http://identifiers.org/reactome/R-ALL-74112; InChI Key: https://identifiers.org/inchikey/BHPQYMZQTOCNFJ-UHFFFAOYSA-N; KEGG Compound: http://identifiers.org/kegg.compound/C00076; CHEBI: http://identifiers.org/chebi/CHEBI:22988; CHEBI: http://identifiers.org/chebi/CHEBI:29108; CHEBI: http://identifiers.org/chebi/CHEBI:3308; CHEBI: http://identifiers.org/chebi/CHEBI:39123; CHEBI: http://identifiers.org/chebi/CHEBI:48760; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00464; BioCyc: http://identifiers.org/biocyc/META:CA+2; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM128; SEED Compound: http://identifiers.org/seed.compound/cpd00063; SEED Compound: http://identifiers.org/seed.compound/cpd29674
Chloride	metabolite	cl_p	cl	Chloride	Homogeneous non-metal compounds	iEC1356_Bl21DE3; iJB785; iML1515; iEC1349_Crooks; iEC1364_W; iEC1368_DH5a; iJN1463; iEC1372_W3110; iYS1720; iEC1344_C; iECS88_1305; iECO26_1355; iECO111_1330; iECOK1_1307; iECIAI39_1322; iECP_1309; iECIAI1_1343; iECs_1301; iEcolC_1368; iECO103_1326; iECNA114_1301; iEcE24377_1341; iEC55989_1330; iECDH10B_1368; iECH74115_1262; iECDH1ME8569_1439; iECD_1391; iECB_1328; iECBD_1354; iECABU_c1320; iEcHS_1320; iEcDH1_1363; iECED1_1282; iBWG_1329; iAF1260; iSF_1195; iB21_1397; ic_1306; iE2348C_1286; iJO1366; iPC815; iAPECO1_1312; iEC042_1314; iAF987; iY75_1357; STM_v1_0; iAF1260b; iECUMN_1333; iECSF_1327; iEKO11_1354; iEcSMS35_1347; iETEC_1333; iECSP_1301; iS_1188; iLF82_1304; iECW_1372; iECSE_1348; iNRG857_1313; iG2583_1286; iUMNK88_1353; iSSON_1240; iSBO_1134; iUMN146_1321; iSDY_1059; iYL1228; iSbBS512_1146; iZ_1308; iUTI89_1310; iSFxv_1172; iSFV_1184; iWFL_1372	Reactome Compound: http://identifiers.org/reactome/R-ALL-188972; Reactome Compound: http://identifiers.org/reactome/R-ALL-2730999; Reactome Compound: http://identifiers.org/reactome/R-ALL-2731008; Reactome Compound: http://identifiers.org/reactome/R-ALL-2731020; Reactome Compound: http://identifiers.org/reactome/R-ALL-29572; Reactome Compound: http://identifiers.org/reactome/R-ALL-3301973; Reactome Compound: http://identifiers.org/reactome/R-ALL-352022; KEGG Compound: http://identifiers.org/kegg.compound/C00698; KEGG Compound: http://identifiers.org/kegg.compound/C01327; CHEBI: http://identifiers.org/chebi/CHEBI:13291; CHEBI: http://identifiers.org/chebi/CHEBI:13364; CHEBI: http://identifiers.org/chebi/CHEBI:13970; CHEBI: http://identifiers.org/chebi/CHEBI:17883; CHEBI: http://identifiers.org/chebi/CHEBI:17996; CHEBI: http://identifiers.org/chebi/CHEBI:24635; CHEBI: http://identifiers.org/chebi/CHEBI:3616; CHEBI: http://identifiers.org/chebi/CHEBI:3731; CHEBI: http://identifiers.org/chebi/CHEBI:48804; CHEBI: http://identifiers.org/chebi/CHEBI:50315; CHEBI: http://identifiers.org/chebi/CHEBI:5590; KEGG Drug: http://identifiers.org/kegg.drug/D02057; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00492; Human Metabolome Database: http://identifiers.org/hmdb/HMDB02073; Human Metabolome Database: http://identifiers.org/hmdb/HMDB02162; Human Metabolome Database: http://identifiers.org/hmdb/HMDB02306; BioCyc: http://identifiers.org/biocyc/META:CL-; BioCyc: http://identifiers.org/biocyc/META:HCL; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM43; InChI Key: https://identifiers.org/inchikey/VEXZGXHMUGYJMC-UHFFFAOYSA-M; SEED Compound: http://identifiers.org/seed.compound/cpd00099
Choline C5H14NO	metabolite	chol_e	chol	Choline C5H14NO	Organic nitrogen compounds	iIS312_Trypomastigote; iCN718; iAM_Pk459; iIS312; iEC1344_C; iAM_Pv461; iAM_Pf480; iIS312_Epimastigote; iJN1463; iYS1720; iIS312_Amastigote; iAM_Pc455; iEC1368_DH5a; iAM_Pb448; iCN900; iEC1372_W3110; ic_1306; iEC042_1314; iSF_1195; iAF1260; iEC55989_1330; iND750; iBWG_1329; iSB619; iPC815; iE2348C_1286; iNJ661; iB21_1397; iJO1366; iMM904; iJN746; iAPECO1_1312; iS_1188; iECUMN_1333; iG2583_1286; iNRG857_1313; iEKO11_1354; iEcSMS35_1347; iECSF_1327; iLF82_1304; iECW_1372; iETEC_1333; iECSP_1301; iECSE_1348; iECOK1_1307; iECO26_1355; iECIAI39_1322; iECO111_1330; iECO103_1326; iECs_1301; iECNA114_1301; iECIAI1_1343; iECP_1309; iECS88_1305; iEcolC_1368; RECON1; iAF1260b; iAT_PLT_636; iCHOv1; iMM1415; iYO844; iAB_RBC_283; STM_v1_0; iY75_1357; iEK1008; iNF517; iEC1356_Bl21DE3; iYS854; iML1515; iEC1349_Crooks; iEC1364_W; iCHOv1_DG44; Recon3D; iUTI89_1310; iSSON_1240; iSFV_1184; iZ_1308; iUMNK88_1353; iJR904; iSDY_1059; iSbBS512_1146; iWFL_1372; iYL1228; iSBO_1134; iSFxv_1172; iUMN146_1321; iECABU_c1320; iEcHS_1320; iECBD_1354; iECDH10B_1368; iECB_1328; iECD_1391; iECED1_1282; iECDH1ME8569_1439; iECH74115_1262; iEcDH1_1363; iEcE24377_1341	Reactome Compound: http://identifiers.org/reactome/R-ALL-264618; Reactome Compound: http://identifiers.org/reactome/R-ALL-264638; Reactome Compound: http://identifiers.org/reactome/R-ALL-6798162; KEGG Compound: http://identifiers.org/kegg.compound/C00114; CHEBI: http://identifiers.org/chebi/CHEBI:13985; CHEBI: http://identifiers.org/chebi/CHEBI:15354; CHEBI: http://identifiers.org/chebi/CHEBI:23212; CHEBI: http://identifiers.org/chebi/CHEBI:3665; CHEBI: http://identifiers.org/chebi/CHEBI:41524; CHEBI: http://identifiers.org/chebi/CHEBI:72322; KEGG Drug: http://identifiers.org/kegg.drug/D07690; KEGG Drug: http://identifiers.org/kegg.drug/D10498; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00097; BioCyc: http://identifiers.org/biocyc/META:CHOLINE; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM90; InChI Key: https://identifiers.org/inchikey/OEYIOHPDSNJKLS-UHFFFAOYSA-N; SEED Compound: http://identifiers.org/seed.compound/cpd00098
Co2+	metabolite	cobalt2_e	cobalt2	Co2+	Homogeneous non-metal compounds	iECS88_1305; iECSE_1348; iECO103_1326; iECOK1_1307; iECIAI1_1343; iECNA114_1301; iECIAI39_1322; iECO111_1330; iECO26_1355; iECs_1301; iECP_1309; iEcolC_1368; iEKO11_1354; iS_1188; iLF82_1304; iECW_1372; iEcSMS35_1347; iETEC_1333; iG2583_1286; iECSF_1327; iECSP_1301; iNRG857_1313; iECUMN_1333; iJN678; iAF1260b; iY75_1357; iAF692; STM_v1_0; iAF987; iYO844; iHN637; iAPECO1_1312; iB21_1397; iE2348C_1286; iEC042_1314; iSF_1195; iJO1366; iPC815; iEC55989_1330; ic_1306; iAF1260; iNJ661; iBWG_1329; iJN746; iSB619; iSFV_1184; iZ_1308; iUTI89_1310; iSBO_1134; iYL1228; iSDY_1059; iSbBS512_1146; iSFxv_1172; iSSON_1240; iUMNK88_1353; iWFL_1372; iUMN146_1321; iECED1_1282; iECDH1ME8569_1439; iECD_1391; iEcE24377_1341; iECBD_1354; iEcHS_1320; iECH74115_1262; iECB_1328; iEcDH1_1363; iECDH10B_1368; iECABU_c1320; iEC1349_Crooks; iEC1356_Bl21DE3; iYS854; iEK1008; iEC1364_W; iJB785; iML1515; iAM_Pk459; iSynCJ816; iAM_Pv461; iJN1463; iYS1720; iEC1344_C; iCN900; iEC1368_DH5a; iAM_Pb448; iAM_Pc455; iEC1372_W3110; iAM_Pf480	KEGG Compound: http://identifiers.org/kegg.compound/C00175; CHEBI: http://identifiers.org/chebi/CHEBI:23337; CHEBI: http://identifiers.org/chebi/CHEBI:48827; CHEBI: http://identifiers.org/chebi/CHEBI:48828; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00608; BioCyc: http://identifiers.org/biocyc/META:CO+2; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM90960; InChI Key: https://identifiers.org/inchikey/XLJKHNWPARRRJB-UHFFFAOYSA-N; SEED Compound: http://identifiers.org/seed.compound/cpd00149
D-Erythrose 4-phosphate	metabolite	e4p_c	e4p	D-Erythrose 4-phosphate	Organic oxygen compounds	iEC1349_Crooks; iML1515; iJB785; iEC1356_Bl21DE3; iCHOv1_DG44; Recon3D; iNF517; iEK1008; iYS854; iLB1027_lipid; iEC1368_DH5a; iAM_Pf480; iEC1372_W3110; iJN1463; iAM_Pv461; iEC1364_W; iIS312_Epimastigote; iSynCJ816; iAM_Pc455; iYS1720; iCN718; iIS312_Amastigote; iIS312_Trypomastigote; iIS312; iCN900; iEC1344_C; iAM_Pb448; iAM_Pk459; iECBD_1354; iEcE24377_1341; iEC55989_1330; iECABU_c1320; iECED1_1282; iECDH10B_1368; iECH74115_1262; iECD_1391; iECDH1ME8569_1439; iECB_1328; iEcDH1_1363; iEcHS_1320; iE2348C_1286; ic_1306; iB21_1397; iIT341; iND750; iPC815; iAPECO1_1312; iBWG_1329; iNJ661; iSB619; iEC042_1314; iJN746; iJO1366; iSF_1195; iAF1260; iMM904; iECUMN_1333; iS_1188; iETEC_1333; iEcSMS35_1347; iECSF_1327; iG2583_1286; iECSE_1348; iLF82_1304; iECSP_1301; iNRG857_1313; iEKO11_1354; iECW_1372; iHN637; iAF1260b; iY75_1357; iYO844; RECON1; STM_v1_0; iJN678; iAF987; iAT_PLT_636; iLJ478; iAF692; iCHOv1; iAB_RBC_283; iMM1415; iUMN146_1321; iSFV_1184; iSFxv_1172; iZ_1308; iSSON_1240; iSDY_1059; iWFL_1372; e_coli_core; iSbBS512_1146; iJR904; iSBO_1134; iYL1228; iUTI89_1310; iUMNK88_1353; iECOK1_1307; iECO26_1355; iECs_1301; iEcolC_1368; iECO103_1326; iECIAI39_1322; iECP_1309; iECO111_1330; iECNA114_1301; iECIAI1_1343; iECS88_1305	Reactome Compound: http://identifiers.org/reactome/R-ALL-29878; KEGG Compound: http://identifiers.org/kegg.compound/C00279; CHEBI: http://identifiers.org/chebi/CHEBI:12921; CHEBI: http://identifiers.org/chebi/CHEBI:16897; CHEBI: http://identifiers.org/chebi/CHEBI:20927; CHEBI: http://identifiers.org/chebi/CHEBI:4114; CHEBI: http://identifiers.org/chebi/CHEBI:42349; CHEBI: http://identifiers.org/chebi/CHEBI:48153; Human Metabolome Database: http://identifiers.org/hmdb/HMDB01321; BioCyc: http://identifiers.org/biocyc/META:ERYTHROSE-4P; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM258; InChI Key: https://identifiers.org/inchikey/NGHMDNPXVRFFGS-IUYQGCFVSA-L; SEED Compound: http://identifiers.org/seed.compound/cpd00236
D-Glucose	metabolite	glc__D_e	glc__D	D-Glucose	Organic oxygen compounds	iS_1188; iECW_1372; iLF82_1304; iETEC_1333; iNRG857_1313; iG2583_1286; iECSF_1327; iECUMN_1333; iEcSMS35_1347; iEKO11_1354; iECSP_1301; iSBO_1134; iUTI89_1310; e_coli_core; iJR904; iSbBS512_1146; iUMNK88_1353; iSDY_1059; iZ_1308; iSSON_1240; iWFL_1372; iSFV_1184; iUMN146_1321; iSFxv_1172; iYL1228; Recon3D; iNF517; iEC1356_Bl21DE3; iEK1008; iYS854; iLB1027_lipid; iEC1364_W; iCHOv1_DG44; iEC1349_Crooks; iML1515; RECON1; iAB_RBC_283; iCHOv1; iY75_1357; iLJ478; STM_v1_0; iAT_PLT_636; iJN678; iYO844; iMM1415; iAF1260b; iHN637; iECDH1ME8569_1439; iECB_1328; iEcDH1_1363; iECH74115_1262; iEcHS_1320; iEcE24377_1341; iEC55989_1330; iECDH10B_1368; iECBD_1354; iECD_1391; iECABU_c1320; iECED1_1282; iECIAI39_1322; iECS88_1305; iECOK1_1307; iEcolC_1368; iECP_1309; iECs_1301; iECNA114_1301; iECO103_1326; iECIAI1_1343; iECO26_1355; iECSE_1348; iECO111_1330; iAM_Pf480; iAM_Pv461; iSynCJ816; iAM_Pb448; iAM_Pk459; iEC1372_W3110; iJN1463; iYS1720; iCN900; iCN718; iEC1344_C; iAM_Pc455; iEC1368_DH5a; ic_1306; iSF_1195; iND750; iJO1366; iMM904; iSB619; iB21_1397; iNJ661; iIT341; iBWG_1329; iPC815; iAPECO1_1312; iAF1260; iEC042_1314; iJN746; iE2348C_1286	KEGG Compound: http://identifiers.org/kegg.compound/C00031; CHEBI: http://identifiers.org/chebi/CHEBI:12965; CHEBI: http://identifiers.org/chebi/CHEBI:17634; CHEBI: http://identifiers.org/chebi/CHEBI:20999; CHEBI: http://identifiers.org/chebi/CHEBI:4167; KEGG Drug: http://identifiers.org/kegg.drug/D00009; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00122; Human Metabolome Database: http://identifiers.org/hmdb/HMDB06564; BioCyc: http://identifiers.org/biocyc/META:Glucopyranose; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM41; InChI Key: https://identifiers.org/inchikey/WQZGKKKJIJFFOK-GASJEMHNSA-N; SEED Compound: http://identifiers.org/seed.compound/cpd00027; SEED Compound: http://identifiers.org/seed.compound/cpd26821
D-Glutamate	metabolite	glu__D_c	glu__D	D-Glutamate	Organic acids and derivatives	iECH74115_1262; iECABU_c1320; iEcHS_1320; iECBD_1354; iEcDH1_1363; iEcE24377_1341; iECDH10B_1368; iEC55989_1330; iECDH1ME8569_1439; iECED1_1282; iECB_1328; iECD_1391; iS_1188; iG2583_1286; iETEC_1333; iEKO11_1354; iECSE_1348; iECSP_1301; iECW_1372; iLF82_1304; iECSF_1327; iECUMN_1333; iEcSMS35_1347; iNRG857_1313; iECNA114_1301; iECS88_1305; iECP_1309; iECO103_1326; iECOK1_1307; iECIAI1_1343; iECO26_1355; iECO111_1330; iEcolC_1368; iECIAI39_1322; iECs_1301; iEC1372_W3110; iSynCJ816; iJN1463; iYS1720; iCN900; iEC1364_W; iEC1344_C; iCN718; iEC1368_DH5a; iNF517; iML1515; iJB785; iEC1356_Bl21DE3; iYS854; iEC1349_Crooks; iEK1008; iIT341; iSF_1195; iE2348C_1286; iPC815; iAF1260; iNJ661; iBWG_1329; iEC042_1314; iJN746; ic_1306; iSB619; iJO1366; iAPECO1_1312; iB21_1397; STM_v1_0; iYO844; iHN637; iAF1260b; iY75_1357; iLJ478; iJN678; iAF987; iZ_1308; iSDY_1059; iSSON_1240; iUTI89_1310; iUMNK88_1353; iSBO_1134; iUMN146_1321; iSFxv_1172; iSFV_1184; iWFL_1372; iYL1228; iSbBS512_1146; iJR904	KEGG Compound: http://identifiers.org/kegg.compound/C00217; CHEBI: http://identifiers.org/chebi/CHEBI:12979; CHEBI: http://identifiers.org/chebi/CHEBI:15966; CHEBI: http://identifiers.org/chebi/CHEBI:21022; CHEBI: http://identifiers.org/chebi/CHEBI:21023; CHEBI: http://identifiers.org/chebi/CHEBI:29986; CHEBI: http://identifiers.org/chebi/CHEBI:29989; CHEBI: http://identifiers.org/chebi/CHEBI:4183; Human Metabolome Database: http://identifiers.org/hmdb/HMDB03339; BioCyc: http://identifiers.org/biocyc/META:D-GLT; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM331; InChI Key: https://identifiers.org/inchikey/WHUUTDBJXJRKMK-GSVOUGTGSA-M; SEED Compound: http://identifiers.org/seed.compound/cpd00186
D-Glyceraldehyde	metabolite	glyald_c	glyald	D-Glyceraldehyde	Organic oxygen compounds	iJR904; iSbBS512_1146; iUMNK88_1353; iSFV_1184; iYL1228; iWFL_1372; iSFxv_1172; iUTI89_1310; iZ_1308; iUMN146_1321; iSBO_1134; iSSON_1240; iSDY_1059; iCN900; iCN718; iEC1344_C; iJN1463; iEC1372_W3110; iYS1720; iEC1364_W; iEC1368_DH5a; iIS312_Trypomastigote; iIS312_Amastigote; iIS312; iSynCJ816; iIS312_Epimastigote; iG2583_1286; iNRG857_1313; iECW_1372; iECSP_1301; iECUMN_1333; iEKO11_1354; iS_1188; iECSF_1327; iLF82_1304; iEcSMS35_1347; iECSE_1348; iETEC_1333; iECB_1328; iECED1_1282; iEcE24377_1341; iECH74115_1262; iEC55989_1330; iECDH1ME8569_1439; iECBD_1354; iECABU_c1320; iEcHS_1320; iECDH10B_1368; iEcDH1_1363; iECD_1391; iECO111_1330; iECP_1309; iECNA114_1301; iECs_1301; iECO26_1355; iECIAI1_1343; iECO103_1326; iECOK1_1307; iECS88_1305; iEcolC_1368; iECIAI39_1322; iRC1080; iYO844; iAF692; iY75_1357; iAF987; iCHOv1; iLJ478; iAT_PLT_636; RECON1; iJN678; iAF1260b; STM_v1_0; iMM1415; iYS854; iJB785; iML1515; iEC1349_Crooks; iCHOv1_DG44; iEK1008; Recon3D; iNF517; iEC1356_Bl21DE3; ic_1306; iAF1260; iIT341; iAPECO1_1312; iBWG_1329; iSF_1195; iMM904; iB21_1397; iEC042_1314; iJN746; iND750; iSB619; iPC815; iE2348C_1286; iJO1366	Reactome Compound: http://identifiers.org/reactome/R-ALL-30393; KEGG Compound: http://identifiers.org/kegg.compound/C00577; CHEBI: http://identifiers.org/chebi/CHEBI:12982; CHEBI: http://identifiers.org/chebi/CHEBI:17378; CHEBI: http://identifiers.org/chebi/CHEBI:21025; CHEBI: http://identifiers.org/chebi/CHEBI:39973; CHEBI: http://identifiers.org/chebi/CHEBI:4186; BioCyc: http://identifiers.org/biocyc/META:GLYCERALD; InChI Key: https://identifiers.org/inchikey/MNQZXJOMYWMBOU-VKHMYHEASA-N; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM435; SEED Compound: http://identifiers.org/seed.compound/cpd00448
